full_name,programming_languages
sunquan8094/Krush3x,['C++']
sabeiro/McAmp,"['Processing', 'C++', 'C', 'Assembly', 'Objective-C', 'Python', 'CMake']"
osam-cologne/stereogain,"['Makefile', 'C++', 'C', 'Shell']"
EmilianStankov/rvst,['Rust']
krmnn/MIDIVelocityZone,"['C++', 'CMake']"
johncollinson2001/multifuzz,"['C++', 'C', 'Objective-C++', 'Inno Setup']"
RBLG/Grapher,['C#']
rm8x/myowah,"['C', 'C++', 'Objective-C++', 'R']"
morukutsu/ParisHarmony,"['C', 'C++', 'Objective-C++']"
wolf-plugins/wolf-lfo,"['Makefile', 'Shell', 'C++', 'C', 'HTML']"
miladnia/KeysVST,"['JavaScript', 'CSS']"
surge-synthesizer/surge,"['Shell', 'Inno Setup', 'C', 'C++', 'PowerShell', 'Python', 'CMake', 'Perl', 'Jupyter Notebook', 'Lua', 'HTML', 'Dockerfile', 'Objective-C++', 'Batchfile']"
jatinchowdhury18/AnalogTapeModel,"['TeX', 'Python', 'C++', 'Inno Setup', 'Shell', 'Makefile', 'CMake']"
Chowdhury-DSP/ChowMatrix,"['CMake', 'C++', 'Shell', 'TeX', 'Makefile', 'Inno Setup', 'C']"
vvvar/PeakEater,"['C++', 'CMake', 'Python', 'Ruby', 'Just', 'Dockerfile', 'Jinja']"
JanosGit/Schrammel_OJD,"['CMake', 'Inno Setup', 'C++']"
utokusa/OS-251,"['C++', 'CMake', 'JavaScript', 'Shell', 'TypeScript', 'Inno Setup', 'Makefile']"
hollance/mda-plugins-juce,"['C++', 'C']"
tobanteAudio/modEQ,"['C++', 'Makefile', 'CMake']"
khrykin/BlackBird,"['Inno Setup', 'Shell', 'Batchfile', 'C++', 'CMake']"
vgorloff/VST3NetSend,"['C++', 'Objective-C', 'Objective-C++', 'C', 'Swift', 'Shell', 'JavaScript']"
szkkng/jr-granular,"['CMake', 'Max', 'C++', 'C']"
robbert-vdh/diopser,"['CMake', 'C++']"
SmEgDm/equalize_it,"['CMake', 'C++', 'Inno Setup']"
prof-spock/SoX-Plugins,"['CMake', 'C', 'C++', 'Batchfile', 'Shell']"
stfufane/Midi-Transposer,"['C++', 'CMake']"
blackboxdsp/rotor,"['C++', 'CMake', 'Shell']"
elk-audio/mda-vst3,"['CMake', 'C', 'C++']"
fukuroder/BLIT-based_sinewave_hardsync,"['C++', 'Python', 'CMake']"
blackboxdsp/phantom,"['CMake', 'C++', 'Shell']"
sfztools/sfizz-ui,"['CMake', 'C++', 'Objective-C++', 'C', 'Shell', 'Python']"
werman/noise-suppression-for-voice,"['CMake', 'C++', 'C']"
DISTRHO/Cardinal,"['Makefile', 'C++', 'C', 'Shell', 'HTML', 'JavaScript', 'CSS', 'Inno Setup', 'PHP']"
jerryuhoo/Fire,"['C', 'C++', 'CMake', 'Ruby', 'Inno Setup']"
hzdgopher/4klang,"['Assembly', 'C++', 'C', 'Batchfile', 'Shell', 'CMake', 'Makefile']"
mzuther/Squeezer,"['Makefile', 'Python', 'Shell', 'Lua', 'C', 'C++', 'R', 'Batchfile', 'Objective-C++']"
mzuther/K-Meter,"['Makefile', 'Python', 'Shell', 'Lua', 'C', 'C++', 'R', 'Batchfile', 'Objective-C++']"
Chowdhury-DSP/CHOW,"['C++', 'Inno Setup', 'C', 'Objective-C++', 'R']"
s-oram/Grace,"['Batchfile', 'Pascal', 'PHP', 'C++', 'Assembly', 'Shell', 'HTML', 'CSS', 'C', 'Makefile', 'NSIS', 'JavaScript', 'AutoIt', 'Inno Setup', 'Pawn']"
TobiasKozel/GuitarD,"['C', 'Makefile', 'C++', 'Inno Setup', 'Rich Text Format', 'TeX', 'Objective-C', 'Python', 'Shell', 'Batchfile', 'Faust']"
jpcima/string-machine,"['Makefile', 'C', 'C++', 'Shell', 'SourcePawn', 'Faust', 'CMake']"
jpcima/HybridReverb2,"['CMake', 'C', 'C++', 'Objective-C++', 'R', 'Shell', 'Makefile', 'Roff']"
klknn/synth2,"['D', 'Python']"
mzuther/traKmeter,"['Shell', 'Python', 'Makefile', 'Lua', 'Batchfile', 'C', 'C++', 'Objective-C++', 'R']"
KaixoCode/CMBNEX,"['CMake', 'C++']"
leomccormack/HO-SIRR-GUI,"['C', 'C++', 'Batchfile', 'CMake']"
SpotlightKid/dfzitarev1,"['Makefile', 'C++', 'Faust', 'C', 'Shell']"
SpotlightKid/stereocrossdelay,"['Makefile', 'C++', 'Faust', 'C', 'Shell']"
killbizz/Biztortion,"['C++', 'C', 'Objective-C++', 'R']"
SpotlightKid/sendmixer,"['Makefile', 'C++', 'Faust', 'C', 'Shell']"
lukemcraig/MusicalRingMod,"['C', 'C++', 'Objective-C++', 'R']"
ABSounds/Harpejji-VST,"['C++', 'C', 'Objective-C++', 'R']"
SpotlightKid/transportgate,"['Makefile', 'C++', 'C']"
kcuric/kodiak,"['C', 'C++', 'Objective-C++', 'R']"
YeshiNamkhai/mioSynth,"['Csound Document', 'HTML']"
WrongPeople/JustRepeat,"['CMake', 'C++']"
almostdefinitelycode/DCOffsetter,"['CMake', 'C++', 'C']"
GrieferPig/zippify,['Rust']
maxklint/patch-discord,['Csound Document']
johnfmcrae/NoiseGenerator,['C++']
TobiasKozel/rektifier,"['C', 'Makefile', 'Rich Text Format', 'Inno Setup', 'TeX', 'C++', 'Objective-C', 'Python', 'Shell', 'Batchfile']"
ntomassetti/DesuMateVST,['C++']
Janislav/Pluto,"['C', 'C++', 'Objective-C++', 'R']"
alexyer/digidist,['Rust']
chrigervi/Orpheus,['C++']
blaketeres/Boomerang-Delay-Plugin-VST-AU-,['C++']
uchidama/SimpleSynthEx,['C++']
uchidama/WhiteNoiseSynthPluginEx,['C++']
hectorbennett/hecto-drive,"['TypeScript', 'HTML', 'CSS', 'Rust']"
Kareus/ABit,"['C++', 'C']"
notwa/crap,"['C++', 'Shell', 'Makefile']"
JosephTLyons/Track-Notes-1,['C++']
konstice/SignatureLine,"['C++', 'C', 'Objective-C++', 'R']"
defrankland/VstAudioEqMeter,['Java']
brayschurman/venue,[]
Lolitron-0/Kaoss-emul,['C++']
crowbait/GnomeDistort,"['C++', 'C']"
haszari/PhraseSyncPlugins,['C++']
scriptorum/SMBigSkin,['JavaScript']
dsp-re/suzirya,['C++']
WeirdConstructor/HexoSynth,"['Rust', 'Shell']"
demberto/fxp,['Python']
defuse/vst_plugin,['Rust']
tomto66/Topiary-Riffz,"['C', 'C++', 'Batchfile']"
strikles/UQLRF-500,"['Rust', 'Shell']"
pfeeyatko/simple-eq,['C++']
